"recipeId","direction"
6,"Spread 1 cup of the tomato sauce in the bottom of a 3-quart (13 by 9 by 2-inch) casserole. Lay 3 lasagna noodles lengthwise down the dish. The noodles should not touch one another. Spoon 3/4 cup of the ricotta mixture over the noodles, and spread evenly with a rubber spatula. Sprinkle 1 cup of the mozzarella evenly over the ricotta. Repeat with the remaining ingredients, for a total of 4 layers of noodles. Sprinkle the remaining 1 cup of mozzarella over the top layer of tomato sauce, and top with the remaining 1/2 cup of Parmesan."
6,"Cover the casserole tightly with aluminum foil, and bake, covered, for 1 hour."
6,"Remove the casserole from the oven, and remove the aluminum foil. Return to the oven and bake, uncovered, for 10 minutes."
6,"Remove from the oven and let sit for 10 minutes before serving."
6,"Place the tomatoes in a large bowl and squeeze to break into small pieces. Set aside."
6,"In a heavy 5-quart pot, heat the olive oil over medium heat. Add the onions, garlic, salt, basil, oregano and black pepper, and cook, stirring, until soft, 5 minutes. Add the tomato sauce, tomato paste, water, sugar and reserved crushed tomatoes, stir well, and bring to a simmer. Lower the heat to medium-low, and simmer uncovered for 45 minutes, stirring occasionally."
6,"Remove from the heat, and use as needed."
6,"Combine all ingredients thoroughly and store in an airtight jar or container."
6,"Recipe from ""New New Orleans Cooking"", by Emeril Lagasse and Jessie Tirsch. Published by William and Morrow, 1993."
7,"Mix together hummus and TABASCO® Chipotle Sauce until well combined. Serve immediately with pita chips or raw vegetables or refrigerate until ready to use."
8,"In a sealable microwave-safe container, combine apples with all other ingredients. Close lid, leaving one corner of lid open to allow steam to escape. Microwave on high for 10 minutes."
8,"Using a hand blender or potato masher, blend to desired consistency. Serve hot immediately or chill for later use."
9,"In a sealable microwave-safe container, combine apples with all other ingredients. Close lid, leaving one corner of lid open to allow steam to escape. Microwave on high for 10 minutes."
9,"Using a hand blender or potato masher, blend to desired consistency. Serve hot immediately or chill for later use."
10,"Make pudding according to package directions and let stand 5 minutes. Stir orange zest into the pudding. Spread a thin layer of preserves across the bottom of graham cracker crust. Top with pudding. Arrange fruit on pudding, then sprinkle pie with mint, if desired."
11,"Dressing: In a glass bowl, add the mayonnaise, mustard and chili sauce and mix well. Add the capers, peppers, chopped egg, pickles and green onions. Fold everything together and season with the salt and pepper. Transfer to a glass jar or plastic container and refrigerate for 30 minutes to 24 hours."
11,"Salad: Preheat the oven to 350 degrees F."
11,"Wash and prepare your vegetables. Trim the ends of the beets, drizzle with olive oil, sprinkle with salt and pepper, to taste, and wrap in foil. Put them on a cookie sheet and roast in the oven until tender, about 1 hour or longer. Remove them from the oven and let cool. Once cooled, peel and cut them into julienne pieces."
11,"Saute the diced bacon in a small skillet over medium-high heat until just crisp. Remove the bacon from the skillet to a paper towel."
11,"In a clear glass bowl with slanted sides, layer your salad, starting with 1/3 of the iceberg, then the beets, 1/3 of the red leaf lettuce, then the avocado. Keep going with 1/3 of the iceberg, then the onions, 1/3 of the red leaf lettuce, then the tomatoes. Finish with the final portion of iceberg, then the eggs, the final layer of red leaf, then the cucumber. Top the entire salad with the dressing and garnish with the bacon. Toss at the table and serve immediately."
12,"Heat olive oil in 2-quart saucepan over medium heat and cook garlic and red pepper flakes 30 seconds. Stir in sauce. Simmer, stirring occasionally, 8 minutes. Serve over hot linguine."
12,"Smart Choices Program™ approved recipes were developed to bring nutrition to your kitchen with delicious recipes that help you make positive changes in your diet through a variety and balance of food choices from each of the major food groups."
13,"Toast the rye bread."
13,"Meanwhile, whisk together the sour cream, horseradish, mayonnaise, mustard, 3 tablespoons water, 3/4 teaspoon salt and 1/4 teaspoon pepper in a large bowl. Add the spinach, coleslaw mix and cheese and toss to combine."
13,"Cut the toasted bread, crusts and all, into 1/2-inch pieces Divide dressed greens among 4 salad plates and top each with roast beef, beets and rye croutons."
13,"Copyright 2014 Television Food Network, G.P. All rights reserved."
14,"Combine the chicken broth, 1 cup water, ramen noodles, spinach, chicken, kimchi, corn and soy sauce in a large straight-sided skillet. Cover and bring to a boil over high heat, stirring occasionally, about 6 minutes; boil for 1 minute."
14,"Meanwhile, slice the scallions and tear the seaweed into bite-size pieces."
14,"Divide the hot ramen among 4 shallow bowls and top each with scallions and seaweed."
15,"Preheat the broiler with a rack set about 4 inches from the heat source."
15,"Put 1/4 cup of the sour cream, 1/4 cup iced water mixed with ice cubes, the sliced cucumbers, garlic, scallion whites and a large pinch salt in a blender. Blend until mostly smooth, then add the tomatoes. Blend until smooth, then remove the small cap on the lid of the blender and slowly drizzle in 1/4 cup of the oil while the blender is running. Season with additional salt if needed. Place the soup in the freezer while you prepare the quesadillas."
15,"Place the cannellini beans and a pinch black pepper in a bowl, and roughly mash with the back of a fork. Place 2 of the tortillas on a baking sheet without letting them overlap. Brush one side of the tortillas with some of the remaining olive oil. Flip, so the oiled side is directly on the baking sheet. Divide the mashed cannellini beans between the two tortillas and use a fork or your fingers to spread the mixture evenly on the tortillas, leaving a 1/2-inch border around the edge. Lay 3 pieces of the cheese on top of the beans on each tortilla (it is okay if the cheese overlaps slightly). Top with the remaining 2 tortillas and brush the tops of the tortillas with the remaining oil."
15,"Place the quesadillas under the broiler and cook until the top tortillas are crisp and lightly golden brown, about 1 minute. Use a spatula to flip the quesadillas and cook until the cheese is completely melted and the tortillas are crisp and lightly golden brown, about 1 additional minute. Cut each into 6 wedges."
15,"To serve, ladle (or pour directly from the blender carafe) the soup in to 4 chilled bowls and drizzle with additional olive oil and several grindings of freshly ground black pepper and some of the sliced green scallions. Serve 3 pieces of quesadilla on the side of each bowl of soup along with a dollop of the remaining sour cream and some pickled jalapenos."
16,"Meanwhile, whisk together the red wine vinegar, mustard, 1/2 teaspoon salt and a few grinds of pepper in a large bowl until combined. Slowly drizzle in the oil while whisking until the mixture is thickened and creamy. Add the beans and toss."
16,"Roughly chop the meat and add to the salad. Add the baby kale, dried cranberries and almonds. Toss all together and top with the Manchego, shaved with a vegetable peeler. Serve immediately with dinner rolls on the side."
17,"Line a baking sheet with parchment and put in the freezer. Combine the chocolate, coconut oil and vanilla extract in a medium microwave-safe bowl. Microwave for 15 second increments, stirring with a spoon in between, until the chocolate is three-quarters of the way melted. Then stir the mixture until the chocolate melts completely. Set aside."
17,"Remove the ice cream pints from the freezer and discard the lid. Using a serrated knife, slice off a very thin piece from the side of the container so that it sits flat on a cutting board. With the container on its side, slice crosswise into 3 equal rounds. Remove the cardboard from each round and insert a wooden ice pop stick through the side. Dip into the melted chocolate and lay flat on the chilled baking sheet (see Cook's Note). Let harden in the freezer for 30 seconds and eat, or wrap individually with plastic and freeze for up to 2 weeks."
18,"Position a rack about 4 inches from the broiler heat source, and preheat. Bring the wine, rosemary, thyme and 2 cups of the chicken broth to a boil in a covered medium saucepan over high heat. Reduce to a bare simmer."
18,"Puree the beans, shallots, garlic, oil, butter, remaining 1/2 cup chicken broth, 1/2 teaspoon salt, a few grinds of pepper and 1/2 cup of the simmering broth in a blender until completely smooth and emulsified, about 2 minutes."
18,"Meanwhile, lay the bread slices on a rimmed baking sheet, and top evenly with the mozzarella. Broil until the tops are browned and bubbling, 1 to 2 minutes; remove from the oven. Divide the tomatoes evenly among the toasts, and top with the Parmesan."
18,"Remove the herb sprigs from the simmering broth; set aside. Whisk the bean puree into the broth, and return it to a gentle boil. Ladle the soup into bowls, and garnish with the reserved herb sprigs and a few grinds of black pepper. Serve with the cheese toasts."
19,"Preheat oven to 500 degrees F."
19,"Put the pizza shell or focaccia onto a pizza pan or cookie sheet. Drizzle shell with oil and scatter minced garlic over shell to edges. Cover the pie with a layer of all 3 cheeses combined and work all the way to the edge of the shells. Top with artichoke hearts. Cook 6 to 8 minutes, until cheeses have melted and begin to bubble. Remove from oven and garnish with parsley. Cut pie with pizza wheel or knife into bite-size squares and serve."
20,"For the Dough:"
20,"The dough can be made in advance. You will need 1 pound of dough to make this pie. Blend the shortening, flour and cold water together in the bowl of a stand mixer on low speed, using a dough hook. Mix until well blended. Remove the dough from the bowl, wrap in plastic wrap and put it on a sheet pan. The dough can be stored for up to 1 week in the refrigerator, but allow it to come to room temperature before rolling."
20,"Cut the dough in half and roll out 1 piece of dough to fit into a 10-inch pie plate. Fit the dough circle into the bottom of the pie pan, pushing it snugly against the edges. Roll out the other piece of dough and set aside until ready to use."
20,"For the Filling:"
20,"Preheat the oven to 350 degrees F."
20,"Bring a medium pot of salted water to a boil over medium heat. Add the potatoes and blanch until al dente. Drain and set aside to cool."
20,"In a large skillet over medium heat, add the beef, pork, and the onions. Brown the meat, then discard the grease. Add the potatoes and moisten the mixture with the beef soup base, as needed. Use the instant potato to tighten the mixture, if needed. Season with cinnamon, nutmeg, garlic, black pepper and 1/4 teaspoon salt."
20,"Pour the filling into the dough-lined pie plate. Level it off and cover with the remaining circle of dough. Pinch the edges of the bottom layer and top layer of dough together and create the knuckle-like pie edge ridges. Trim off any excess dough using a sharp knife."
20,"Brush the top of the pie with the egg wash. Make a few slits in the top crust to allow the steam to escape."
20,"Bake until cooked through and the top of the pie is golden brown, about 45 minutes."
20,"Remove from the oven and serve."
21,"Preheat the oven to 350 degrees F. Coat a 12-cup muffin pan with cooking spray."
21,"Heat 1 teaspoon of the oil in a large nonstick skillet set over medium-high heat. Add the ham and cook until shrunken and somewhat dried, 2 to 3 minutes. Turn and cook another 2 minutes. Transfer to a bowl."
21,"Add the remaining 1 teaspoon oil and the onions to the pan and reduce the heat to medium-low. Cook, stirring occasionally, until the onions are translucent and very soft, 11 to 12 minutes."
21,"Meanwhile, lightly beat the whole eggs and egg whites in a large bowl. Add all but 2 tablespoons of the cheese, the salt and thyme, and whisk until well blended. Stir in the ham and onions."
21,"Scoop about 1/4 cup of the mixture at a time into the prepared muffin pan, and divide the remaining 2 tablespoons of cheese over the tops. Bake in the center of the oven until a toothpick inserted in the center comes out clean, 22 to 25 minutes. Cool slightly before removing from the pan. Serve warm or at room temperature."
22,"Preheat oven to 400 degrees F."
22,"In a roasting pan roast the beef in the middle of the oven for 25 to 30 minutes, or until an instant read thermometer registers 120 degrees F when inserted into the beef. Let the fillet cool completely and discard the bacon and the strings. Skim the fat from the pan juices and reserve the pan juices."
22,"In a heavy skillet cook the mushrooms in the butter, salt and pepper over moderately low heat, stirring, until all the liquid they give off is evaporated and the mixture is almost dry. Add heavy cream and cook until cream thickens and coats the back of a spoon, about 5 minutes. Let cool completely."
22,"Spread the fillet evenly with the pate de foie gras, covering the top and sides, and spread the mushrooms evenly over the pate de foie gras. On a floured surface roll 1 pound of the puff pastry into a 20 by 12-inch rectangle, or large enough to enclose the fillet completely. Slightly beat the egg white in a small bowl and set aside. Beat the egg yolk with the water to make an egg wash and set aside. Invert the coated fillet carefully under the middle of the dough, and fold up the long sides of the dough to enclose the fillet brushing the edges of the dough with some of the egg white to seal them. Fold ends of the dough over the fillet and seal them with the remaining egg white."
22,"Transfer the fillet, seam side down to a jelly-roll pan or shallow roasting pan and brush the dough with some of the egg wash. Roll out the additional dough and cut out shapes with decorative cutters. Arrange the cutouts on the dough decoratively, brush them with the remaining egg wash, and chill the fillet for at least 1 hour and up to 2 hours."
22,"Bake the fillet in the middle of a preheated 400 degree F oven for 30 minutes. Reduce the heat to 350 degrees F, and bake the fillet for 5 to 10 minutes more, or until the meat thermometer registers 130 degrees F for medium-rare meat and the pastry is cooked through. Let the fillet stand for 15 minutes. In a saucepan boil the reserved pan juices and the Madeira until the mixture is reduced by 1/4. Add the arrowroot mixture, the broth, the truffles, and salt and pepper, to taste, and cook the sauce over moderate heat, stirring, being careful not to let it boil, for 5 minutes, or until it is thickened. Loosen the fillet from the jelly-roll pan, transfer it with 2 spatulas to a heated platter, and garnish it with watercress. Serve the fillet, cut into 3/4-inch-thick slices, with the sauce."
23,"Preheat oven to 350 degrees F."
23,"On a baking sheet, rub the chicken breasts with the vegetable oil and sprinkle with the basil, oregano, granulated garlic and 1/4 teaspoon each salt and pepper. Bake until the breasts reach an internal temperature of 160 degrees F on an instant-read thermometer, about 20 minutes. Let cool."
23,"Meanwhile, heat 3 tablespoons olive oil in a saute pan over medium-high heat. When hot, add the onions, thyme, 1/2 teaspoon salt and 1/4 teaspoon pepper. Cook, stirring often, until the onions are caramelized, 8 to 10 minutes."
23,"In a separate saute pan, heat another 3 tablespoons olive oil. When hot, add the mushrooms and 1/2 teaspoon each salt and pepper. Saute for 7 minutes."
23,"Pulse the mayonnaise with the chipotle and sauce in a food processor until blended."
23,"Slice the cooled chicken breasts as thinly as possible."
23,"On a baking sheet, make four piles of chicken, caramelized onions and mushrooms. Top each pile with 2 slices of provolone and place in the oven until melted. Transfer the stacks to the toasted bread and top with chipotle mayonnaise."
24,"For the cake: Position an oven rack in the middle of the oven and preheat to 350 degrees F. Spray a 10-inch round cake pan with a layer of nonstick cooking spray."
24,"To a large mixing bowl, add the yogurt, oil and granulated sugar (using the yogurt carton as the measure) and the eggs; beat together with a hand whisk until everything is incorporated and smooth, 1 to 2 minutes."
24,"Next, add the cake flour and cocoa using the carton as the measure, then the vanilla, baking soda and baking powder; beat together until incorporated, 1 to 2 minutes more. Add the milk and mini chocolate chips (using the carton) and mix until incorporated."
24,"Pour the batter into the prepared cake pan and bake until a cake tester inserted into the center of the cake comes out clean, 35 to 40 minutes. Let cool in the cake pan for 30 minutes, then remove the cake to a cooling rack and allow it to cool for another 30 minutes."
24,"For the vanilla buttercream frosting: Add the confectioners' sugar (measured in the carton), butter and vanilla to the bowl of an electric mixer fitted with a paddle attachment and beat until smooth and creamy, 2 to 3 minutes. Spread over the top of the cooled cake in a thick layer and sprinkle with the mini chocolate chips (measure in the carton)."
25,"Mix together the peanut butter, brown sugar, soy sauce, sriracha, lime zest and juice and some hot water in a small bowl until the dressing reaches the desired consistency, adding a bit more hot water or lime juice to thin it out if it's too thick. If you want it more spicy, add some more sriracha."
25,"Serve over red leaf and romaine lettuce with mandarin oranges and crispy wonton noodles."
26,"Preheat oven to 350 degrees F."
26,"In an 11 by 15-inch baking pan, layer each ingredient in order written. Dollop cream cheese on top of layers and drizzle sweetened condensed milk on top of everything. Bake in the oven for 25 minutes. Remove from oven and allow to cool before slicing into bars."
27,"In a frying pan placed over a medium flame add in butter and allow to melt. Once butter is melted add in asparagus pieces and saute for 3 minutes or until they turn dark green."
27,"Pour the whisked eggs over the cooked asparagus and allow to cook for 5 minutes. Stirring occasionally."
27,"Once eggs are cooked remove from flame."
27,"Over an open flame, or in a microwave, or on a hot comal, heat the corn tortillas using a pair of tongs to flip the tortilla if heating over an open flame."
27,"Fill the tortillas with an equal amount of cooked egg mixture."
27,"Top each taco with a slice of avocado. As an option sprinkle with salt and red pepper. Enjoy!"
28,"Peel the ginger and finely grate it in to a large mixing bowl. Whisk in the olive oil, vinegar, soy sauce and sesame oil. Season with some salt and pepper. Reserve 2 tablespoons of the dressing and set aside. Thinly slice the mushrooms and scallions, keeping the white and green parts of the scallions separate. Add the sliced mushrooms, scallion whites and the edamame to the dressing in the large mixing bowl. Stir to combine and then marinate at room temperature (the mushrooms will become more tender while they sit in the dressing) while you prepare the rest of the ingredients, stirring occasionally. Reserve the sliced scallion greens to use as garnish."
28,"Place the rice in a glass mixing bowl and break it up using a fork. Place a damp paper towel directly on top of the rice and place in the microwave; cook until just warmed through and softened, about 3 minutes."
28,"Meanwhile, remove the skin from the chicken and shred the meat in to large bite-size pieces, about 2 cups. Toss the chicken, warm rice and carrots with the mushrooms and edamame. Season with some salt and pepper."
28,"Toss the baby arugula and reserved dressing in a large mixing bowl. Season lightly with salt and pepper. Divide the arugula among 4 large plates and top each with 2 cups of the salad mixture. Garnish with the reserved scallion greens."
29,"Position an oven rack to the center of the oven and preheat the broiler. Meanwhile, coat 8 cups of the muffin tin generously with cooking spray. Crack an egg into each, sprinkle with salt and broil until the tops are golden brown and the egg whites are set but the yolks are still runny, 4 to 5 minutes (a small knife inserted into the egg helps to check doneness). Remove the muffin tin from the oven and set aside."
29,"While the eggs are cooking, put the refried beans in a small bowl, cover and microwave until hot, about 2 minutes. Dice the avocado. Slice the roasted red peppers into strips."
29,"Arrange 2 tostadas on each of 4 plates. Spoon and spread some of the beans on each tostada. Use a small off-set spatula or spoon to scoop out the eggs from the muffin tin and place one, browned-side down, on top of each tostada. Spoon salsa verde over each egg and top with roasted pepper, avocado and cheese."
30,"Preheat the broiler and set a rack 2 inches from the heat."
30,"On a large sheet tray lined with aluminum foil, toss the broccoli with the olive oil and a large pinch of salt and pepper. Spread the broccoli out into a singer layer. Broil the broccoli while you prepare the salmon."
30,"Thinly slice the scallions and finely grate the lemon zest, then add them to a small bowl with the mayonnaise, Dijon mustard and a pinch of salt and pepper. Whisk to combine."
30,"Remove the broccoli from the oven. (Parts of the broccoli should be lightly charred.) Use a spatula to stir the broccoli and move it to the outer edges of the baking sheet. Sprinkle each fillet all over with salt and pepper and place them in the center of the baking sheet. Divide the mayonnaise mixture on top of the fillets, spreading to cover. Broil, rotating the pan halfway through, until the sauce has turned deep golden brown and the salmon is opaque, about 5 minutes. Meanwhile, cut half of the zested lemon into wedges."
30,"Divide the salmon, broccoli and lemon wedges among 4 plates and serve immediately."
31,"Place a large high-sided skillet over medium-high heat. Combine the milk, 3 1/2 cups water and a large pinch of salt in a medium saucepan, cover and set it over medium-high heat."
31,"When the large skillet is hot, add 2 tablespoons of the oil and swirl the pan to coat. Add the sausage and cook, using a wooden spoon to break up the meat, until lightly browned in parts, about 3 minutes. Meanwhile, cut the onion into large chunks."
31,"Add the onion, carrots and garlic to a food processor and pulse until finely chopped. Add 2 tablespoons of olive oil, the vegetables and a large pinch of salt to the pan with the sausage and cook until the vegetables are slightly softened, about 3 minutes."
31,"By this time, the milk and water mixture should be at a strong simmer. Whisk in the polenta and lower the heat to medium-low. Cook, stirring frequently, until the polenta is thickened and creamy, about 3 minutes. Stir in the butter and cheese and season with additional salt if needed. Remove from the heat and cover to keep warm."
31,"When the vegetables are slightly softened, stir in the tomatoes and red pepper flakes. Cook, uncovered, stirring occasionally, until the vegetables are completely tender and the juice from the tomatoes has reduced slightly, 6 to 8 minutes. Season to taste with additional salt and red pepper flakes if desired."
31,"Divide the polenta (if the polenta is too thick, whisk in 1/4 to 1/2 cup warm water to thin it out) among 4 bowls and top with the chunky tomato ragu. Toss the greens in a large bowl with the remaining olive oil, a squeeze of lemon juice, and some salt and pepper and serve on the side."
32,"Position an oven rack in the center of the oven and preheat to 450 degrees F."
32,"Place a large saute pan over medium-high heat and fill a second large saute pan halfway with warm water and set over high heat. Add a very large pinch of salt to the water and cover with a lid."
32,"Put the flour and a large pinch of salt and pepper into a large resealable plastic bag. Sprinkle the chicken cutlets generously with salt and pepper and place them in the bag, then close it tightly and give it a few shakes to coat the chicken completely."
32,"Pour the olive oil into the hot pan and let it warm up for 30 seconds. Shake excess flour from the cutlets and add them one at a time to the hot oil. Cook until lightly browned on both sides, about 4 minutes total. While the chicken is cooking, tear off the leaves from the parsley and roughly chop; reserve. Transfer the chicken to a baking sheet lined with a rack and place in the oven to finish cooking while you prepare the rest of the meal."
32,"At this point, the salted water should be at a full boil. Put the pasta into the water and cook, uncovered, until al dente, about 3 minutes."
32,"Meanwhile, add the artichokes and capers to the same pan that the chicken was cooked in and use a wooden spoon to scrape up any browned bits at the bottom of the pan. Stir in the white wine and chicken stock and cook until the liquid is reduced by almost half, about 3 minutes. Stir in 2 tablespoons of the butter until melted. Turn off the heat and reserve."
32,"Drain the cooked pasta and add to a large bowl along with the chopped parsley and remaining 2 tablespoons butter. Stir gently until the butter is melted and season to taste with salt and pepper. Transfer the chicken to a serving platter and spoon the artichokes and sauce on top. Serve immediately."
33,"Put the frozen rice in a medium glass mixing bowl, and break it up using a fork. Drape a damp paper towel directly over the rice, and microwave until the rice is warmed through and softened, 2 to 3 minutes."
33,"Meanwhile, puree the yogurt, oil, lemon zest and juice, mayonnaise, shallots, garlic, 1 1/2 teaspoons salt and a few grinds of pepper in a small food processor or a blender until smooth. Toast the walnuts in a small skillet over medium heat until fragrant and just starting to brown, about 2 minutes."
33,"Combine the chicken, grapes, parsley and spinach in a large bowl, and toss with half the dressing. Add the warmed rice and toasted walnuts, toss again and serve with the remaining dressing."
34,"Preheat a large cast-iron grill pan over high heat for 2 minutes. Cut the skirt steak into 4 even pieces, rub with half of the oil and sprinkle liberally with salt and pepper. Cook, turning once, until charred on both sides and at the desired doneness, 6 to 10 minutes for medium-rare (depending on thickness)."
34,"Meanwhile, whisk together the pesto, butter and a pinch of salt and pepper in a small bowl."
34,"Trim the ends of the asparagus. Toss the asparagus with the remaining oil and a large pinch of salt and pepper. Transfer the steaks to a cutting board to rest for a few minutes. Working in batches if necessary, place the asparagus in a single layer on the grill pan and cook, turning once, until charred in spots and crisp-tender, about 2 minutes."
34,"Divide the steaks and asparagus among 4 plates; top each steak with a dollop of the pesto butter. Serve immediately."
